Line,Rep,Score,Parental Temp,Experimental Temp
443,6,21,25,25
443,7,73,25,25
443,8,32,25,25
443,9,55,25,25
443,10,66,25,25
461,1,39,25,25
461,2,69,25,25
461,3,36,25,25
461,4,39,25,25
461,5,70,25,25
461,6,75,25,25
461,7,65,25,25
461,8,66,25,25
461,9,83,25,25
461,10,85,25,25
486,1,111,25,25
486,2,124,25,25
486,3,96,25,25
486,4,132,25,25
486,5,146,25,25
486,6,112,25,25
486,7,161,25,25
486,8,82,25,25
486,9,78,25,25
486,10,60,25,25
491,1,53,25,25
491,2,59,25,25
491,3,68,25,25
491,4,76,25,25
491,5,68,25,25
491,6,41,25,25
491,7,97,25,25
491,8,70,25,25
491,9,105,25,25
491,10,79,25,25
492,1,59,25,25
492,2,50,25,25
492,3,79,25,25
492,4,96,25,25
492,5,37,25,25
492,6,24,25,25
492,7,104,25,25
492,8,48,25,25
492,9,84,25,25
492,10,55,25,25
502,1,103,25,25
502,2,57,25,25
502,3,107,25,25
502,4,37,25,25
502,5,60,25,25
502,6,69,25,25
502,7,116,25,25
502,8,140,25,25
502,9,143,25,25
502,10,75,25,25
505,1,95,25,25
505,2,96,25,25
505,3,114,25,25
505,4,103,25,25
505,5,83,25,25
505,6,87,25,25
505,7,92,25,25
505,8,91,25,25
505,9,81,25,25
505,10,72,25,25
508,1,49,25,25
508,2,78,25,25
508,3,53,25,25
508,4,40,25,25
508,5,36,25,25
508,6,64,25,25
508,7,39,25,25
508,8,52,25,25
508,9,59,25,25
508,10,61,25,25
509,1,87,25,25
509,2,98,25,25
509,3,123,25,25
509,4,107,25,25
509,5,158,25,25
509,6,59,25,25
509,7,27,25,25
509,8,75,25,25
509,9,75,25,25
509,10,114,25,25
513,1,112,25,25
513,2,48,25,25
513,3,100,25,25
513,4,42,25,25
513,5,102,25,25
513,6,138,25,25
513,7,125,25,25
513,8,111,25,25
513,9,108,25,25
513,10,110,25,25
517,1,108,25,25
517,2,108,25,25
517,3,138,25,25
517,4,77,25,25
517,5,66,25,25
517,6,112,25,25
517,7,125,25,25
517,8,81,25,25
517,9,85,25,25
517,10,84,25,25
528,1,90,25,25
528,2,102,25,25
528,3,64,25,25
528,4,101,25,25
528,5,70,25,25
528,6,102,25,25
528,7,111,25,25
528,8,69,25,25
528,9,89,25,25
528,10,110,25,25
530,1,109,25,25
530,2,78,25,25
530,3,126,25,25
